OBJECTID_1,ED_ID,ED_ENGLISH,ED_GAEILGE,COUNTY,CONTAE,PROVINCE,CENTROID_X,CENTROID_Y,GUID_,CSOED_3409,OSIED_3441,CSOED_34_1,Shape__Area,Shape__Length
1493,117073,ROWAN, ,LEITRIM,Liatroim,Connacht,608484.01146934,805324.666095279,2AE19629173F13A3E055000000000001,28078,117073,Rowan,16843306.5997314,26370.0096080731
1494,268068,FINGLAS SOUTH C, ,DUBLIN,Baile Átha Cliath,Leinster,712628.167327125,738132.575244068,2AE196291D6F13A3E055000000000001,02056,268068,Finglas South C,390636.659484863,2767.37395511982
1495,257064,RATHDANGAN, ,WICKLOW,Cill Mhantáin,Leinster,698373.371275787,684320.014303083,2AE196291EA813A3E055000000000001,15024,257064,Rathdangan,24325931.4283447,29257.4465677275
1496,157065,CROSSMOLINA NORTH, ,MAYO,Maigh Eo,Connacht,510802.66822442,819962.006186688,2AE19629197A13A3E055000000000001,29016,157065,Crossmolina North,28372696.1624451,40267.4480836905
1497,67067,CLOONKEEN, ,GALWAY,Gaillimh,Connacht,558382.380709054,755089.506230901,2AE19629205413A3E055000000000001,27191,67067,Cloonkeen,20554428.8796997,29021.9861438871
1498,227061,KILRONAN,Cill Rónáin,WATERFORD,Port Láirge,Munster,617674.833098631,618123.361753169,2AE196291BB713A3E055000000000001,25017,227061,Kilronan,10606824.9579163,15226.5736228202
1499,107086,ROSENALLIS, ,LAOIS,Laois,Leinster,639276.805574099,707074.054605617,2AE1962916E513A3E055000000000001,08074,107086,Rosenallis,19426255.6374817,28128.5472222515
1500,57063,FAHAN, ,DONEGAL,Dún na nGall,Ulster,636580.767709796,926626.648119059,2AE1962920F713A3E055000000000001,33078,57063,Fahan,29809178.8345947,24226.51625564
1501,77076,ENNISMORE, ,KERRY,Ciarraí,Munster,494327.854487126,632447.969425692,2AE19629223213A3E055000000000001,19106,77076,Ennismore,17808323.1206055,24794.4665787605
1502,37052,DRUMELLIHY, ,CLARE,An Clár,Munster,501554.644834223,664107.662268,2AE196291FDD13A3E055000000000001,16083,37052,Drumellihy,26381062.3481445,25319.3657308435
1503,128034,SHANNON B,An tSionainn B,LIMERICK,Luimneach,Munster,557627.906428998,656882.132531241,2AE19629180013A3E055000000000001,20035,128034,Shannon B,246371.059875488,2074.14207853749
1504,268015,BALLYMUN A, ,DUBLIN,Baile Átha Cliath,Leinster,714106.256337804,740363.628747225,2AE196291D0B13A3E055000000000001,02015,268015,Ballymun A,865768.542266846,4212.15326854084
1505,257078,WICKLOW URBAN, ,WICKLOW,Cill Mhantáin,Leinster,731528.704183866,693793.473670984,2AE196291EE013A3E055000000000001,15007,257078,Wicklow Urban,3214335.83883667,9224.54415615819
1506,268112,PEMBROKE EAST C, ,DUBLIN,Baile Átha Cliath,Leinster,719132.31068712,732078.674446458,2AE196291DB813A3E055000000000001,02127,268112,Pembroke East C,598832.145172119,3910.91260165734
